series_id,period,value,frequency
monthly_trend,1,101.52,monthly
monthly_trend,2,95.5,monthly
monthly_trend,3,105.15,monthly
monthly_trend,4,106.8,monthly
monthly_trend,5,93.04,monthly
monthly_trend,6,96.99,monthly
monthly_trend,7,104.84,monthly
monthly_trend,8,103.31,monthly
monthly_trend,9,105.51,monthly
monthly_trend,10,102.03,monthly
monthly_trend,11,111.39,monthly
monthly_trend,12,111.58,monthly
monthly_trend,13,108.72,monthly
monthly_trend,14,114.73,monthly
monthly_trend,15,112.13,monthly
monthly_trend,16,106.19,monthly
monthly_trend,17,113.03,monthly
monthly_trend,18,107.09,monthly
monthly_trend,19,116.98,monthly
monthly_trend,20,113.04,monthly
monthly_trend,21,113.06,monthly
monthly_trend,22,111.28,monthly
monthly_trend,23,121.5,monthly
monthly_trend,24,115.31,monthly
monthly_trend,25,114.64,monthly
monthly_trend,26,115.72,monthly
monthly_trend,27,120.84,monthly
monthly_trend,28,120.71,monthly
monthly_trend,29,121.64,monthly
monthly_trend,30,122.43,monthly
monthly_trend,31,131.69,monthly
monthly_trend,32,119.65,monthly
monthly_trend,33,119.82,monthly
monthly_trend,34,119.01,monthly
monthly_trend,35,126.86,monthly
monthly_trend,36,130.12,monthly
monthly_trend,37,124.61,monthly
monthly_trend,38,121.67,monthly
monthly_trend,39,122.45,monthly
monthly_trend,40,130.53,monthly
monthly_trend,41,131.69,monthly
monthly_trend,42,131.39,monthly
monthly_trend,43,126.04,monthly
monthly_trend,44,131.23,monthly
monthly_trend,45,131.35,monthly
monthly_trend,46,132.56,monthly
monthly_trend,47,136.52,monthly
monthly_trend,48,133.99,monthly
monthly_trend,49,136.96,monthly
monthly_trend,50,134.6,monthly
monthly_trend,51,136.41,monthly
monthly_trend,52,138.82,monthly
monthly_trend,53,129.08,monthly
monthly_trend,54,135.46,monthly
monthly_trend,55,135.41,monthly
monthly_trend,56,135.27,monthly
monthly_trend,57,137.79,monthly
monthly_trend,58,147.33,monthly
monthly_trend,59,136.23,monthly
monthly_trend,60,146.1,monthly
monthly_trend,61,133.54,monthly
monthly_trend,62,140.98,monthly
monthly_trend,63,144.17,monthly
monthly_trend,64,146.99,monthly
monthly_trend,65,148.31,monthly
monthly_trend,66,149.42,monthly
monthly_trend,67,144.41,monthly
monthly_trend,68,144.54,monthly
monthly_trend,69,151.84,monthly
monthly_trend,70,147.3,monthly
monthly_trend,71,142.57,monthly
monthly_trend,72,143.98,monthly
monthly_trend,73,145.75,monthly
monthly_trend,74,153.53,monthly
monthly_trend,75,152.46,monthly
monthly_trend,76,155.9,monthly
monthly_trend,77,151.01,monthly
monthly_trend,78,154.64,monthly
monthly_trend,79,157.67,monthly
monthly_trend,80,153.7,monthly
monthly_trend,81,158.23,monthly
monthly_trend,82,153.33,monthly
monthly_trend,83,155.53,monthly
monthly_trend,84,156.13,monthly
monthly_trend,85,152.76,monthly
monthly_trend,86,161.88,monthly
monthly_trend,87,157.79,monthly
monthly_trend,88,160.9,monthly
monthly_trend,89,163.94,monthly
monthly_trend,90,164.47,monthly
monthly_trend,91,166.26,monthly
monthly_trend,92,163.14,monthly
monthly_trend,93,162.22,monthly
monthly_trend,94,164.64,monthly
monthly_trend,95,157.3,monthly
monthly_trend,96,159.2,monthly
monthly_trend,97,160.52,monthly
monthly_trend,98,162.85,monthly
monthly_trend,99,170.53,monthly
monthly_trend,100,164.7,monthly
monthly_trend,101,168.04,monthly
monthly_trend,102,177.13,monthly
monthly_trend,103,169.55,monthly
monthly_trend,104,175.72,monthly
monthly_trend,105,168.06,monthly
monthly_trend,106,172.4,monthly
monthly_trend,107,169.38,monthly
monthly_trend,108,173.13,monthly
monthly_trend,109,179.73,monthly
monthly_trend,110,167.59,monthly
monthly_trend,111,179.1,monthly
monthly_trend,112,178.81,monthly
monthly_trend,113,175.35,monthly
monthly_trend,114,171.79,monthly
monthly_trend,115,180.08,monthly
monthly_trend,116,177.77,monthly
monthly_trend,117,182.28,monthly
monthly_trend,118,181.93,monthly
monthly_trend,119,190.53,monthly
monthly_trend,120,182.02,monthly
monthly_trend,121,178.8,monthly
monthly_trend,122,185.51,monthly
monthly_trend,123,186.41,monthly
monthly_trend,124,192.81,monthly
monthly_trend,125,190.89,monthly
monthly_trend,126,189.2,monthly
monthly_trend,127,195.43,monthly
monthly_trend,128,182.87,monthly
monthly_trend,129,186.31,monthly
monthly_trend,130,185.58,monthly
monthly_trend,131,188.96,monthly
monthly_trend,132,184.72,monthly
monthly_trend,133,195.48,monthly
monthly_trend,134,191.9,monthly
monthly_trend,135,186.35,monthly
monthly_trend,136,189.33,monthly
monthly_trend,137,196.67,monthly
monthly_trend,138,199.99,monthly
monthly_trend,139,206.49,monthly
monthly_trend,140,211.77,monthly
monthly_trend,141,199.97,monthly
monthly_trend,142,193.65,monthly
monthly_trend,143,188.64,monthly
monthly_trend,144,201.34,monthly
monthly_seasonal,1,97.56,monthly
monthly_seasonal,2,108.75,monthly
monthly_seasonal,3,115.48,monthly
monthly_seasonal,4,119.58,monthly
monthly_seasonal,5,120.52,monthly
monthly_seasonal,6,110.47,monthly
monthly_seasonal,7,99.52,monthly
monthly_seasonal,8,86.89,monthly
monthly_seasonal,9,77.66,monthly
monthly_seasonal,10,78.54,monthly
monthly_seasonal,11,82.52,monthly
monthly_seasonal,12,95.3,monthly
monthly_seasonal,13,100.39,monthly
monthly_seasonal,14,112.95,monthly
monthly_seasonal,15,115.82,monthly
monthly_seasonal,16,116.45,monthly
monthly_seasonal,17,114.43,monthly
monthly_seasonal,18,107.82,monthly
monthly_seasonal,19,106.39,monthly
monthly_seasonal,20,87.54,monthly
monthly_seasonal,21,85.19,monthly
monthly_seasonal,22,77.29,monthly
monthly_seasonal,23,85.47,monthly
monthly_seasonal,24,91.15,monthly
monthly_seasonal,25,99.53,monthly
monthly_seasonal,26,109.88,monthly
monthly_seasonal,27,115.36,monthly
monthly_seasonal,28,121.34,monthly
monthly_seasonal,29,115.96,monthly
monthly_seasonal,30,106.32,monthly
monthly_seasonal,31,96.17,monthly
monthly_seasonal,32,90.52,monthly
monthly_seasonal,33,87.42,monthly
monthly_seasonal,34,80.48,monthly
monthly_seasonal,35,82.32,monthly
monthly_seasonal,36,90.86,monthly
monthly_seasonal,37,103.92,monthly
monthly_seasonal,38,110.66,monthly
monthly_seasonal,39,116.09,monthly
monthly_seasonal,40,123.32,monthly
monthly_seasonal,41,118.61,monthly
monthly_seasonal,42,114.61,monthly
monthly_seasonal,43,100.55,monthly
monthly_seasonal,44,86.33,monthly
monthly_seasonal,45,78.58,monthly
monthly_seasonal,46,84.95,monthly
monthly_seasonal,47,87.85,monthly
monthly_seasonal,48,89.46,monthly
monthly_seasonal,49,98.85,monthly
monthly_seasonal,50,114.38,monthly
monthly_seasonal,51,114.0,monthly
monthly_seasonal,52,117.32,monthly
monthly_seasonal,53,119.25,monthly
monthly_seasonal,54,108.82,monthly
monthly_seasonal,55,99.98,monthly
monthly_seasonal,56,89.51,monthly
monthly_seasonal,57,83.69,monthly
monthly_seasonal,58,84.22,monthly
monthly_seasonal,59,82.95,monthly
monthly_seasonal,60,91.93,monthly
monthly_seasonal,61,93.85,monthly
monthly_seasonal,62,109.85,monthly
monthly_seasonal,63,114.79,monthly
monthly_seasonal,64,116.34,monthly
monthly_seasonal,65,114.69,monthly
monthly_seasonal,66,109.0,monthly
monthly_seasonal,67,102.75,monthly
monthly_seasonal,68,86.02,monthly
monthly_seasonal,69,82.77,monthly
monthly_seasonal,70,78.55,monthly
monthly_seasonal,71,81.7,monthly
monthly_seasonal,72,93.01,monthly
monthly_seasonal,73,101.61,monthly
monthly_seasonal,74,114.01,monthly
monthly_seasonal,75,116.86,monthly
monthly_seasonal,76,117.91,monthly
monthly_seasonal,77,116.65,monthly
monthly_seasonal,78,110.73,monthly
monthly_seasonal,79,100.53,monthly
monthly_seasonal,80,86.75,monthly
monthly_seasonal,81,82.95,monthly
monthly_seasonal,82,80.68,monthly
monthly_seasonal,83,90.23,monthly
monthly_seasonal,84,95.63,monthly
monthly_seasonal,85,97.44,monthly
monthly_seasonal,86,109.14,monthly
monthly_seasonal,87,112.93,monthly
monthly_seasonal,88,118.23,monthly
monthly_seasonal,89,118.27,monthly
monthly_seasonal,90,113.62,monthly
monthly_seasonal,91,97.81,monthly
monthly_seasonal,92,88.04,monthly
monthly_seasonal,93,76.24,monthly
monthly_seasonal,94,79.51,monthly
monthly_seasonal,95,79.49,monthly
monthly_seasonal,96,88.41,monthly
monthly_seasonal,97,97.37,monthly
monthly_seasonal,98,109.72,monthly
monthly_seasonal,99,112.05,monthly
monthly_seasonal,100,115.6,monthly
monthly_seasonal,101,123.71,monthly
monthly_seasonal,102,106.14,monthly
monthly_seasonal,103,96.71,monthly
monthly_seasonal,104,95.51,monthly
monthly_seasonal,105,91.39,monthly
monthly_seasonal,106,76.49,monthly
monthly_seasonal,107,81.57,monthly
monthly_seasonal,108,91.02,monthly
monthly_seasonal,109,105.19,monthly
monthly_seasonal,110,107.04,monthly
monthly_seasonal,111,116.58,monthly
monthly_seasonal,112,122.33,monthly
monthly_seasonal,113,118.62,monthly
monthly_seasonal,114,108.87,monthly
monthly_seasonal,115,99.6,monthly
monthly_seasonal,116,85.88,monthly
monthly_seasonal,117,81.96,monthly
monthly_seasonal,118,79.2,monthly
monthly_seasonal,119,83.38,monthly
monthly_seasonal,120,88.33,monthly
monthly_seasonal,121,101.41,monthly
monthly_seasonal,122,113.04,monthly
monthly_seasonal,123,117.79,monthly
monthly_seasonal,124,121.06,monthly
monthly_seasonal,125,117.48,monthly
monthly_seasonal,126,110.0,monthly
