date,gdp_growth,inflation,interest_rate,unemployment,exchange_rate
2010-01-01,0.3,0.5,10.0,7.0,1.75
2010-02-01,0.3514,0.5179,9.9827,7.157,1.6732
2010-03-01,-0.016,0.6825,10.1588,6.8132,1.7114
2010-04-01,0.2639,0.6265,10.3083,6.6963,1.6968
2010-05-01,0.5169,0.4956,10.5183,6.4238,1.6489
2010-06-01,-0.1735,0.6381,10.8838,6.3603,1.6474
2010-07-01,-0.4621,0.6291,10.8166,6.4892,1.7075
2010-08-01,-0.2351,0.7893,10.9875,6.5263,1.5978
2010-09-01,-0.2094,0.6905,11.4416,6.5481,1.5307
2010-10-01,-0.1017,0.4152,11.3453,6.5725,1.4919
2010-11-01,-0.2771,0.2146,11.178,6.6678,1.5618
2010-12-01,0.1199,0.5371,11.3207,6.5378,1.5783
2011-01-01,0.3672,0.7577,11.6509,6.6456,1.6183
2011-02-01,0.3269,0.6156,11.7553,6.7465,1.567
2011-03-01,0.617,0.4926,12.0811,6.7727,1.5183
2011-04-01,0.6221,0.6894,12.3552,6.8231,1.5419
2011-05-01,0.2277,0.4321,12.5355,6.8718,1.5477
2011-06-01,0.32,0.2966,12.6085,7.1702,1.5765
2011-07-01,-0.0136,0.4393,13.0754,7.1717,1.5708
2011-08-01,0.304,0.3764,12.9935,7.1084,1.5871
2011-09-01,0.2478,0.3939,12.5613,6.9862,1.5979
2011-10-01,0.168,0.3815,12.8685,6.8351,1.6389
2011-11-01,-0.0367,0.4486,12.7681,6.6787,1.6824
2011-12-01,0.3911,0.6527,12.8471,6.5392,1.6058
2012-01-01,0.2774,0.5879,13.143,6.5393,1.5041
2012-02-01,0.1157,0.6287,12.854,6.6163,1.5531
2012-03-01,0.0253,0.2511,12.5364,6.6567,1.6127
2012-04-01,0.2274,0.3059,12.1811,6.5529,1.5672
2012-05-01,0.3188,0.2224,11.9799,6.6939,1.4851
2012-06-01,0.397,0.1117,12.0023,6.7974,1.4925
2012-07-01,0.4571,0.0909,12.0343,6.7558,1.5378
2012-08-01,1.0125,0.159,12.0356,6.5864,1.6263
2012-09-01,0.6368,0.3907,11.7684,6.6415,1.655
2012-10-01,0.3421,0.205,11.2795,6.6699,1.6399
2012-11-01,0.0453,0.2878,11.3127,6.4813,1.5997
2012-12-01,0.2665,0.2645,11.2321,6.4852,1.6035
2013-01-01,0.5753,0.2728,11.3442,6.5076,1.5924
2013-02-01,0.4185,0.4777,11.5607,6.3705,1.5477
2013-03-01,0.0909,0.5412,11.6727,6.435,1.6491
2013-04-01,-0.1337,0.7024,11.9518,6.2728,1.7433
2013-05-01,0.1516,0.5834,12.0751,6.5071,1.8073
2013-06-01,0.3791,0.4248,12.2048,6.6961,1.7616
2013-07-01,0.4783,0.3925,12.0713,6.6426,1.811
2013-08-01,0.1852,0.4415,12.0643,6.7129,1.8498
2013-09-01,0.2493,0.4635,12.1395,6.358,1.8783
2013-10-01,0.2595,0.2886,12.2832,6.2042,1.9539
2013-11-01,0.2972,0.3512,12.1957,6.1823,1.9955
2013-12-01,0.5195,0.4125,12.3139,6.0222,2.0444
2014-01-01,0.4807,0.7957,12.3837,6.1404,2.088
2014-02-01,0.5902,0.9488,12.5256,6.4354,2.1137
2014-03-01,0.4834,0.6387,12.7569,6.2531,2.0076
2014-04-01,0.4751,0.5221,12.377,6.1299,2.0166
2014-05-01,0.572,0.2698,12.0798,6.1628,1.9872
