date,gdp_growth,cpi_inflation,fed_funds_rate,unemployment
2010-01-01,0.2,0.2,0.25,9.0
2010-02-01,0.2509,0.2186,0.2437,9.0071
2010-03-01,0.0202,0.3336,0.2848,8.6945
2010-04-01,0.2052,0.3055,0.322,8.5242
2010-05-01,0.382,0.2227,0.377,8.2425
2010-06-01,-0.0637,0.3165,0.4711,8.1222
2010-07-01,-0.2682,0.3145,0.4602,8.1435
2010-08-01,-0.1356,0.4237,0.5071,8.1016
2010-09-01,-0.1249,0.3649,0.6276,8.052
2010-10-01,-0.0571,0.183,0.6161,8.003
2010-11-01,-0.1734,0.0413,0.5868,8.0093
2010-12-01,0.0858,0.244,0.6296,7.8553
2011-01-01,0.2599,0.3932,0.7185,7.8513
2011-02-01,0.2482,0.3073,0.7555,7.8448
2011-03-01,0.4516,0.2268,0.8495,7.7803
2011-04-01,0.4722,0.3549,0.9308,7.7317
2011-05-01,0.2223,0.1877,0.9931,7.696
2011-06-01,0.2805,0.0919,1.0301,7.8266
2011-07-01,0.0586,0.1787,1.1638,7.7743
2011-08-01,0.2596,0.1356,1.1638,7.6714
2011-09-01,0.2247,0.1444,1.0748,7.5322
2011-10-01,0.1716,0.1347,1.167,7.3773
2011-11-01,0.0325,0.1781,1.1585,7.2266
2011-12-01,0.3089,0.3154,1.1923,7.0746
2012-01-01,0.2408,0.2798,1.2819,7.0192
2012-02-01,0.1349,0.3103,1.2272,7.0218
2012-03-01,0.0707,0.0622,1.1663,7.0057
2012-04-01,0.1995,0.0887,1.0918,6.889
2012-05-01,0.2627,0.0277,1.053,6.933
2012-06-01,0.3196,-0.0525,1.0687,6.951
2012-07-01,0.3659,-0.0745,1.0861,6.8716
2012-08-01,0.7427,-0.0356,1.0946,6.6888
2012-09-01,0.5158,0.1167,1.0337,6.6656
2012-10-01,0.3244,-0.001,0.9175,6.6357
2012-11-01,0.1205,0.0524,0.9271,6.4738
2012-12-01,0.2536,0.0383,0.9088,6.4347
2013-01-01,0.456,0.044,0.938,6.3995
2013-02-01,0.3592,0.1811,0.9924,6.2637
2013-03-01,0.1414,0.2306,1.0225,6.2735
2013-04-01,-0.0189,0.3451,1.0946,6.1427
2013-05-01,0.156,0.2761,1.1318,6.2686
2013-06-01,0.3056,0.1737,1.173,6.3595
2013-07-01,0.3779,0.1492,1.1492,6.2868
2013-08-01,0.1903,0.1787,1.1551,6.306
2013-09-01,0.2291,0.1927,1.1812,6.0414
2013-10-01,0.2352,0.0765,1.2262,5.9093
2013-11-01,0.2601,0.1126,1.2133,5.8636
2013-12-01,0.4094,0.1516,1.2502,5.7191
2014-01-01,0.3918,0.4079,1.2727,5.7602
2014-02-01,0.4696,0.5232,1.3137,5.9167
2014-03-01,0.4057,0.3309,1.382,5.7607
2014-04-01,0.4021,0.2529,1.3,5.6438
2014-05-01,0.4678,0.0807,1.2372,5.6278
2014-06-01,0.0995,0.0474,1.1631,5.8052
2014-07-01,0.0507,0.1147,1.0546,5.7012
2014-08-01,-0.0161,0.2509,1.0447,5.7575
2014-09-01,-0.0998,0.1527,1.0966,5.9819
2014-10-01,-0.0899,0.0915,1.0896,5.8507
2014-11-01,0.2716,-0.1007,1.0876,5.7063
2014-12-01,0.0705,-0.0367,1.1366,5.6822
2015-01-01,0.2865,-0.082,1.1921,5.6167
2015-02-01,-0.0817,-0.0603,1.1787,5.7417
2015-03-01,-0.0882,-0.0799,1.2349,5.8069
2015-04-01,0.0064,-0.0154,1.2332,5.6542
2015-05-01,0.162,-0.1365,1.173,5.7118
2015-06-01,0.3038,-0.1923,1.1206,5.6372
2015-07-01,0.4265,0.1283,1.057,5.7315
2015-08-01,0.2901,0.0111,1.0126,5.6533
2015-09-01,0.1651,-0.0519,0.9893,5.5953
2015-10-01,0.3354,0.1974,1.0494,5.6312
2015-11-01,0.2533,0.4787,1.1823,5.7006
2015-12-01,-0.0251,0.2679,1.1363,5.7781
2016-01-01,-0.2055,0.2007,1.1733,5.667
