date,actual,fc_arima,fc_ets,fc_var,fc_naive,fc_drift
2015-01-01,0.4,0.4009,0.3371,0.3823,0.4,0.5838
2015-02-01,0.4155,0.3536,0.3178,0.3972,0.4,0.3864
2015-03-01,0.3094,0.3437,0.2899,0.3554,0.4155,0.39
2015-04-01,0.4261,0.4637,0.2404,0.5461,0.3094,0.3869
2015-05-01,0.5143,0.6431,0.3576,0.3873,0.4261,0.52
2015-06-01,0.2642,0.351,0.4671,0.2492,0.5143,0.2133
2015-07-01,0.1415,0.1901,0.0028,0.3193,0.2642,0.0812
2015-08-01,0.1798,0.3168,0.0601,0.0905,0.1415,0.0655
2015-09-01,0.1419,0.0668,0.3156,0.0433,0.1798,0.1374
2015-10-01,0.1406,0.1094,0.4211,0.1648,0.1419,0.0215
2015-11-01,0.0628,0.0086,-0.0644,0.1641,0.1406,0.0811
2015-12-01,0.2037,0.1926,0.1569,0.2051,0.0628,0.2607
2016-01-01,0.3102,0.2201,0.3344,0.4697,0.2037,0.3033
2016-02-01,0.3332,0.4041,0.4961,0.4361,0.3102,0.2684
2016-03-01,0.4726,0.4749,0.3639,0.5736,0.3332,0.4753
2016-04-01,0.504,0.4063,0.4694,0.5705,0.4726,0.4388
2016-05-01,0.3849,0.3237,0.4527,0.6643,0.504,0.4326
2016-06-01,0.4121,0.4572,0.4456,0.3875,0.3849,0.2115
2016-07-01,0.272,0.359,0.2244,0.0315,0.4121,0.2069
2016-08-01,0.3396,0.5194,0.3162,0.5321,0.272,0.1264
2016-09-01,0.2725,0.5256,0.125,0.2175,0.3396,0.1047
2016-10-01,0.2086,0.2618,0.1748,0.2216,0.2725,0.299
2016-11-01,0.1242,0.065,0.0876,0.2814,0.2086,0.1733
2016-12-01,0.278,0.1274,0.2912,0.0857,0.1242,0.1826
2017-01-01,0.2652,0.3067,0.1997,0.115,0.278,0.1002
2017-02-01,0.2546,0.2095,0.2917,0.0624,0.2652,-0.0412
2017-03-01,0.2736,0.2603,0.3648,0.1783,0.2546,0.1965
2017-04-01,0.381,0.3521,0.3866,0.4338,0.2736,0.5716
2017-05-01,0.4275,0.4363,0.4527,0.4904,0.381,0.4402
2017-06-01,0.4442,0.5494,0.4395,0.4773,0.4275,0.3682
2017-07-01,0.4318,0.4644,0.4218,0.2623,0.4442,0.4489
2017-08-01,0.5698,0.5771,0.4877,0.2926,0.4318,0.4054
2017-09-01,0.3864,0.3236,0.4081,0.393,0.5698,0.3366
2017-10-01,0.25,0.136,0.2302,0.1934,0.3864,0.2366
2017-11-01,0.1378,0.1189,0.3371,0.1929,0.25,0.1086
2017-12-01,0.2262,0.2419,0.3735,0.3104,0.1378,0.2768
2018-01-01,0.3599,0.5213,0.3885,0.3765,0.2262,0.3712
2018-02-01,0.3475,0.378,0.2612,0.4388,0.3599,0.3888
2018-03-01,0.2852,0.3838,0.1639,0.3127,0.3475,0.2052
2018-04-01,0.2529,0.233,0.362,0.3165,0.2852,0.3165
2018-05-01,0.3728,0.298,0.389,0.2882,0.2529,0.503
2018-06-01,0.4416,0.3844,0.4796,0.4201,0.3728,0.3388
2018-07-01,0.4414,0.4034,0.2569,0.465,0.4416,0.3468
2018-08-01,0.2953,0.4856,0.3781,0.3938,0.4414,0.4017
2018-09-01,0.2719,0.2262,0.3073,0.2246,0.2953,0.2416
2018-10-01,0.2384,0.3255,0.1174,0.3009,0.2719,0.3526
2018-11-01,0.2335,0.1813,0.1764,0.2016,0.2384,0.1824
2018-12-01,0.3139,0.4085,0.3303,0.2998,0.2335,0.4344
2019-01-01,0.3264,0.3772,0.3217,0.426,0.3139,0.3286
2019-02-01,0.4051,0.4125,0.3658,0.1659,0.3264,0.4195
2019-03-01,0.4133,0.4301,0.393,0.2578,0.4051,0.5462
2019-04-01,0.4476,0.4152,0.4124,0.2697,0.4133,0.4079
2019-05-01,0.4974,0.553,0.5026,0.2173,0.4476,0.4064
2019-06-01,0.3026,0.2862,0.4397,0.2212,0.4974,0.2567
2019-07-01,0.2647,0.1867,-0.002,0.3546,0.3026,0.3008
2019-08-01,0.2,0.1178,0.1663,0.1658,0.2647,0.0553
2019-09-01,0.1228,0.1566,0.1305,0.1466,0.2,0.1773
2019-10-01,0.1023,0.2486,0.1219,0.233,0.1228,0.0517
2019-11-01,0.2727,0.3055,0.2255,0.432,0.1023,0.3747
2019-12-01,0.1657,0.1762,-0.02,0.1574,0.2727,-0.0502
2020-01-01,0.3045,0.3474,0.3273,0.4669,0.1657,0.2341
2020-02-01,0.1546,0.2791,0.3174,0.1657,0.3045,0.0041
2020-03-01,0.2103,0.2479,0.0469,0.1098,0.1546,0.1381
2020-04-01,0.303,0.2901,0.3794,0.2317,0.2103,0.3282
2020-05-01,0.3989,0.5074,0.356,0.2212,0.303,0.3865
2020-06-01,0.4554,0.5097,0.4393,0.3488,0.3989,0.4372
2020-07-01,0.4753,0.6182,0.36,0.4324,0.4554,0.4665
2020-08-01,0.3491,0.3838,0.3057,0.4455,0.4753,0.3737
2020-09-01,0.2374,0.1594,0.3574,0.4439,0.3491,0.1538
2020-10-01,0.2901,0.2006,0.3384,0.1242,0.2374,0.3617
2020-11-01,0.2261,0.3782,0.3894,0.2733,0.2901,0.2946
