date,passengers
1949-01-01,111
1949-02-01,120
1949-03-01,131
1949-04-01,134
1949-05-01,127
1949-06-01,131
1949-07-01,129
1949-08-01,107
1949-09-01,84
1949-10-01,73
1949-11-01,91
1949-12-01,120
1950-01-01,147
1950-02-01,169
1950-03-01,171
1950-04-01,166
1950-05-01,177
1950-06-01,172
1950-07-01,170
1950-08-01,138
1950-09-01,107
1950-10-01,93
1950-11-01,116
1950-12-01,147
1951-01-01,181
1951-02-01,202
1951-03-01,212
1951-04-01,213
1951-05-01,218
1951-06-01,220
1951-07-01,215
1951-08-01,166
1951-09-01,129
1951-10-01,113
1951-11-01,137
1951-12-01,184
1952-01-01,220
1952-02-01,238
1952-03-01,243
1952-04-01,256
1952-05-01,262
1952-06-01,262
1952-07-01,234
1952-08-01,200
1952-09-01,155
1952-10-01,136
1952-11-01,162
1952-12-01,210
1953-01-01,263
1953-02-01,285
1953-03-01,293
1953-04-01,297
1953-05-01,284
1953-06-01,295
1953-07-01,272
1953-08-01,224
1953-09-01,176
1953-10-01,163
1953-11-01,176
1953-12-01,245
1954-01-01,280
1954-02-01,321
1954-03-01,332
1954-04-01,337
1954-05-01,345
1954-06-01,346
1954-07-01,310
1954-08-01,255
1954-09-01,205
1954-10-01,175
1954-11-01,196
1954-12-01,260
1955-01-01,322
1955-02-01,370
1955-03-01,373
1955-04-01,379
1955-05-01,373
1955-06-01,380
1955-07-01,357
1955-08-01,286
1955-09-01,227
1955-10-01,192
1955-11-01,225
1955-12-01,296
1956-01-01,355
1956-02-01,411
1956-03-01,406
1956-04-01,412
1956-05-01,425
1956-06-01,424
1956-07-01,395
1956-08-01,318
1956-09-01,244
1956-10-01,216
1956-11-01,238
1956-12-01,315
1957-01-01,389
1957-02-01,432
1957-03-01,458
1957-04-01,440
1957-05-01,454
1957-06-01,477
1957-07-01,419
1957-08-01,357
1957-09-01,262
1957-10-01,235
1957-11-01,266
1957-12-01,356
1958-01-01,453
1958-02-01,461
1958-03-01,500
1958-04-01,496
1958-05-01,491
1958-06-01,478
1958-07-01,462
1958-08-01,373
1958-09-01,295
1958-10-01,257
1958-11-01,311
1958-12-01,387
1959-01-01,465
1959-02-01,529
1959-03-01,537
1959-04-01,555
1959-05-01,554
1959-06-01,545
1959-07-01,520
1959-08-01,395
1959-09-01,310
1959-10-01,269
1959-11-01,316
1959-12-01,402
1960-01-01,526
1960-02-01,563
1960-03-01,549
1960-04-01,556
1960-05-01,587
1960-06-01,594
1960-07-01,567
1960-08-01,478
1960-09-01,344
1960-10-01,288
1960-11-01,321
1960-12-01,454
