series_id,period,actual,fc_model1,fc_model2,fc_model3
M4_001,1,100.8,98.76,98.67,100.12
M4_001,2,100.26,100.62,100.48,100.92
M4_001,3,101.52,101.96,96.74,103.71
M4_001,4,102.96,105.67,99.05,100.01
M4_001,5,101.5,103.17,108.39,100.89
M4_001,6,100.7,101.42,97.34,104.11
M4_001,7,101.33,104.26,98.54,99.17
M4_001,8,101.51,99.14,107.52,99.16
M4_001,9,102.0,100.72,111.21,102.2
M4_001,10,101.64,99.79,98.63,103.46
M4_001,11,103.02,102.24,102.42,102.75
M4_001,12,104.3,101.55,105.83,107.32
M4_001,13,104.87,106.14,110.55,106.71
M4_001,14,106.49,106.05,104.03,108.3
M4_001,15,107.46,104.52,107.23,108.55
M4_001,16,107.1,105.07,109.93,112.62
M4_001,17,107.97,108.6,109.78,107.16
M4_001,18,107.51,109.19,106.88,102.2
M4_001,19,108.89,112.88,108.99,112.6
M4_001,20,109.34,115.17,105.72,107.9
M4_001,21,109.66,110.49,109.44,109.63
M4_001,22,109.48,107.5,109.18,112.45
M4_001,23,111.2,106.93,112.39,106.89
M4_001,24,111.54,112.08,110.38,108.11
M4_001,25,111.62,109.99,113.53,107.31
M4_001,26,111.76,110.93,115.3,109.48
M4_001,27,112.8,111.57,113.76,113.59
M4_001,28,113.66,113.38,115.22,114.67
M4_001,29,114.57,116.71,115.23,114.96
M4_001,30,115.5,115.82,116.0,111.67
M4_001,31,118.15,117.83,116.48,112.07
M4_001,32,118.24,116.17,119.69,118.08
M4_001,33,118.23,114.88,118.44,116.75
M4_001,34,117.91,116.94,124.69,118.76
M4_001,35,119.03,118.92,124.25,120.48
M4_001,36,120.66,124.19,122.32,120.7
M4_001,37,121.04,121.31,119.26,122.64
M4_001,38,120.7,122.67,117.87,120.98
M4_001,39,120.38,119.38,124.45,121.41
M4_001,40,121.53,119.16,122.82,119.47
M4_001,41,122.77,120.84,124.71,122.02
M4_001,42,123.82,122.37,119.08,124.01
M4_001,43,123.65,127.91,126.93,125.4
M4_001,44,124.38,122.74,126.25,123.1
M4_001,45,125.0,126.68,122.17,126.0
M4_001,46,125.72,123.91,124.8,124.75
M4_001,47,127.09,128.95,128.38,126.5
M4_001,48,127.81,128.58,128.47,129.59
M4_001,49,128.99,128.68,128.62,123.71
M4_001,50,129.56,129.48,129.75,126.02
M4_001,51,130.35,129.04,130.09,126.34
M4_001,52,131.48,132.37,132.44,125.35
M4_001,53,130.52,129.61,135.44,128.53
M4_001,54,130.7,128.25,123.5,132.28
M4_001,55,130.73,128.18,130.52,129.72
M4_001,56,130.59,130.94,131.62,130.79
M4_001,57,130.82,133.98,132.21,133.24
