reference_date,vintage,pub_lag_months,gdp_growth
2015-01-01,1,1,2.8253
2015-01-01,2,2,2.7787
2015-01-01,3,3,2.6358
2015-01-01,4,4,2.4168
2015-01-01,5,5,2.5
2015-04-01,1,1,2.5521
2015-04-01,2,2,2.5758
2015-04-01,3,3,2.7116
2015-04-01,4,4,2.5217
2015-04-01,5,5,2.4938
2015-07-01,1,1,1.4474
2015-07-01,2,2,1.5221
2015-07-01,3,3,1.5715
2015-07-01,4,4,1.2315
2015-07-01,5,5,1.4137
2015-10-01,1,1,1.8547
2015-10-01,2,2,1.8503
2015-10-01,3,3,2.0211
2015-10-01,4,4,2.2768
2015-10-01,5,5,2.0899
2016-01-01,1,1,3.1995
2016-01-01,2,2,2.0843
2016-01-01,3,3,2.6317
2016-01-01,4,4,2.7357
2016-01-01,5,5,2.7154
2016-04-01,1,1,1.1956
2016-04-01,2,2,1.1375
2016-04-01,3,3,0.7528
2016-04-01,4,4,0.7822
2016-04-01,5,5,0.8399
2016-07-01,1,1,-0.0494
2016-07-01,2,2,-0.4322
2016-07-01,3,3,-0.2371
2016-07-01,4,4,-0.0687
2016-07-01,5,5,0.0462
2016-10-01,1,1,0.7058
2016-10-01,2,2,0.8936
2016-10-01,3,3,0.5278
2016-10-01,4,4,0.6544
2016-10-01,5,5,0.6346
2017-01-01,1,1,0.5366
2017-01-01,2,2,0.8625
2017-01-01,3,3,0.5258
2017-01-01,4,4,0.6459
2017-01-01,5,5,0.6912
2017-04-01,1,1,0.3725
2017-04-01,2,2,1.153
2017-04-01,3,3,0.8531
2017-04-01,4,4,0.972
2017-04-01,5,5,0.9704
2017-07-01,1,1,0.7201
2017-07-01,2,2,0.7464
2017-07-01,3,3,0.4722
2017-07-01,4,4,0.444
2017-07-01,5,5,0.4969
2017-10-01,1,1,0.7077
2017-10-01,2,2,1.0087
2017-10-01,3,3,1.2206
2017-10-01,4,4,1.4267
2017-10-01,5,5,1.5513
2018-01-01,1,1,1.7554
2018-01-01,2,2,2.0663
2018-01-01,3,3,2.533
2018-01-01,4,4,2.1636
2018-01-01,5,5,2.2082
2018-04-01,1,1,1.6317
2018-04-01,2,2,2.0215
2018-04-01,3,3,1.861
2018-04-01,4,4,2.0562
2018-04-01,5,5,2.0985
2018-07-01,1,1,2.0071
2018-07-01,2,2,3.0337
2018-07-01,3,3,2.9302
2018-07-01,4,4,2.7965
2018-07-01,5,5,2.8708
2018-10-01,1,1,2.9196
2018-10-01,2,2,2.685
2018-10-01,3,3,2.9417
2018-10-01,4,4,2.8863
2018-10-01,5,5,2.8835
2019-01-01,1,1,1.7114
2019-01-01,2,2,1.4472
2019-01-01,3,3,1.8759
2019-01-01,4,4,1.8585
2019-01-01,5,5,1.831
2019-04-01,1,1,2.4943
2019-04-01,2,2,2.2106
2019-04-01,3,3,2.4426
2019-04-01,4,4,1.9281
2019-04-01,5,5,2.0767
2019-07-01,1,1,0.7233
2019-07-01,2,2,1.0404
2019-07-01,3,3,0.8424
2019-07-01,4,4,1.266
2019-07-01,5,5,1.1866
2019-10-01,1,1,1.298
2019-10-01,2,2,1.6525
2019-10-01,3,3,2.1118
2019-10-01,4,4,2.1382
2019-10-01,5,5,2.0334
2020-01-01,1,1,3.3404
2020-01-01,2,2,2.0388
2020-01-01,3,3,1.636
2020-01-01,4,4,1.6169
2020-01-01,5,5,1.8834
2020-04-01,1,1,1.264
2020-04-01,2,2,1.5148
2020-04-01,3,3,1.5175
2020-04-01,4,4,1.6529
2020-04-01,5,5,1.6705
2020-07-01,1,1,1.2031
2020-07-01,2,2,1.0651
2020-07-01,3,3,0.8657
2020-07-01,4,4,0.9153
2020-07-01,5,5,1.1246
2020-10-01,1,1,2.2384
2020-10-01,2,2,2.9282
2020-10-01,3,3,2.2978
2020-10-01,4,4,2.3881
2020-10-01,5,5,2.2653
2021-01-01,1,1,1.3696
2021-01-01,2,2,1.6001
2021-01-01,3,3,1.7808
2021-01-01,4,4,2.2281
2021-01-01,5,5,1.9621
