date,industrial_production,retail_sales,confidence_index,gdp_growth
2015-01-01,100.0,100.0,50.0,
2015-02-01,97.6094,92.2819,43.2503,
2015-03-01,92.649,82.9832,39.645,2.846
2015-04-01,91.5174,78.2227,35.1908,
2015-05-01,90.8227,74.0605,34.5352,
2015-06-01,84.3795,73.732,27.324,2.2564
2015-07-01,79.5562,71.8641,22.3572,
2015-08-01,77.834,68.7483,32.5206,
2015-09-01,75.3099,69.2634,27.4928,2.1997
2015-10-01,73.5108,61.7708,23.9818,
2015-11-01,70.1291,56.6744,32.7321,
2015-12-01,70.3815,51.2273,44.4426,1.8933
2016-01-01,70.418,47.9351,38.0899,
2016-02-01,69.0291,42.0115,35.9035,
2016-03-01,69.8322,42.7158,36.8842,1.9374
2016-04-01,69.2756,40.7776,43.2663,
2016-05-01,66.0932,35.2874,37.8289,
2016-06-01,65.5261,31.7119,36.1735,1.9564
2016-07-01,62.332,32.4813,38.8568,
2016-08-01,62.9723,34.7475,39.7674,
2016-09-01,61.7238,40.263,37.2976,1.3319
2016-10-01,60.2679,47.9783,36.1677,
2016-11-01,57.8927,47.4237,30.243,
2016-12-01,59.4431,42.7127,29.7538,1.5736
2017-01-01,58.1619,35.0453,29.2252,
2017-02-01,56.3971,35.3439,30.7701,
2017-03-01,54.873,32.3707,28.9333,1.8977
2017-04-01,55.194,30.8875,31.4794,
2017-05-01,55.1652,28.9625,35.8084,
2017-06-01,55.2324,28.6439,36.0588,1.1673
2017-07-01,55.3324,31.9774,37.057,
2017-08-01,58.8491,32.2508,36.7111,
2017-09-01,57.0938,31.5498,36.2048,1.2107
2017-10-01,55.2146,28.2879,32.8878,
2017-11-01,52.8263,23.4351,34.2206,
2017-12-01,53.417,22.6326,33.6984,1.3634
2018-01-01,55.0041,23.208,42.0163,
2018-02-01,54.026,29.191,47.0073,
2018-03-01,51.6444,29.6627,46.4996,1.6211
2018-04-01,49.4132,32.6447,41.4724,
2018-05-01,50.2437,30.8823,35.8019,
2018-06-01,51.218,27.2393,40.1962,1.2817
2018-07-01,51.7434,24.62,40.2178,
2018-08-01,49.8253,22.9823,41.1057,
2018-09-01,49.7983,30.0695,32.9615,1.7085
2018-10-01,49.5418,27.5984,36.727,
2018-11-01,49.5021,30.354,38.0356,
2018-12-01,50.7698,27.6098,32.8886,1.5319
2019-01-01,50.6785,30.6436,31.0692,
2019-02-01,51.5024,31.7341,32.4637,
2019-03-01,51.0624,31.0907,32.804,1.5851
2019-04-01,51.0876,30.8594,31.7147,
2019-05-01,51.7958,28.8091,31.5435,
2019-06-01,48.2917,30.2664,30.8041,1.4767
2019-07-01,47.2377,28.8748,31.7937,
2019-08-01,45.9351,25.3105,37.9106,
2019-09-01,44.3606,21.9456,26.9574,1.8346
2019-10-01,43.5923,23.2688,26.9664,
2019-11-01,46.4025,28.6792,28.6275,
2019-12-01,44.3508,29.2913,30.5173,1.127
2020-01-01,46.0698,29.0062,29.4521,
2020-02-01,42.4006,29.9631,23.0074,
2020-03-01,41.6108,33.8848,25.8683,0.605
2020-04-01,41.8557,34.1545,33.8974,
2020-05-01,42.9354,32.5062,27.6774,
2020-06-01,44.2111,35.5745,31.9811,1.697
2020-07-01,45.5872,36.3033,30.8698,
2020-08-01,44.6104,40.2802,30.994,
2020-09-01,43.4552,39.8019,27.1333,1.1517
2020-10-01,44.9984,35.1483,26.7255,
2020-11-01,44.3658,30.529,32.9169,
2020-12-01,41.5962,35.4289,35.31,1.2597
2021-01-01,39.2498,40.057,41.9427,
2021-02-01,37.4484,38.5127,45.361,
2021-03-01,38.5703,36.5119,45.3132,1.5264
2021-04-01,38.9266,40.245,50.4919,
2021-05-01,40.3613,35.8994,49.6741,
2021-06-01,39.4887,32.6253,50.5349,0.6374
2021-07-01,39.8313,34.2927,46.7684,
2021-08-01,41.091,32.6796,45.0193,
2021-09-01,40.4177,32.3963,40.4767,0.7574
2021-10-01,41.3104,31.6664,43.3636,
2021-11-01,39.921,32.5124,37.1458,
2021-12-01,39.1989,36.4836,39.7033,0.6873
2022-01-01,38.4754,36.107,37.9852,
2022-02-01,36.16,37.4281,41.9724,
2022-03-01,37.3259,30.5348,43.6801,0.8135
2022-04-01,36.5208,30.3352,49.4106,
2022-05-01,36.7198,27.772,49.9221,
2022-06-01,37.8453,24.3383,41.1457,1.1158
2022-07-01,38.8461,22.27,39.706,
2022-08-01,40.2345,22.0407,34.0621,
2022-09-01,40.0258,25.5843,31.8796,1.2071
2022-10-01,39.178,22.0467,38.1426,
2022-11-01,39.0596,22.9339,39.9713,
2022-12-01,35.732,22.188,36.1799,1.0646
2023-01-01,33.0512,21.9862,31.6981,
2023-02-01,30.7532,25.7959,32.0745,
2023-03-01,29.221,27.8306,27.3971,0.4746
2023-04-01,30.5595,32.0597,25.6029,
2023-05-01,29.2206,31.3903,28.0105,
2023-06-01,29.0032,29.1634,33.4302,0.1905
2023-07-01,32.1515,28.5755,35.8507,
2023-08-01,31.8314,29.4454,26.308,
2023-09-01,33.7149,30.0306,28.5792,0.9679
2023-10-01,32.1619,26.7744,29.5805,
2023-11-01,32.1429,27.3684,31.799,
2023-12-01,30.6358,28.3163,38.494,0.7746
2024-01-01,30.4259,36.0371,29.4669,
2024-02-01,32.5852,41.0639,27.6825,
2024-03-01,29.5013,37.3978,30.8937,1.1285
2024-04-01,30.8951,35.7958,24.9333,
2024-05-01,31.8258,30.8259,32.0971,
2024-06-01,31.0462,28.9712,33.756,1.1254
2024-07-01,28.6018,30.0209,37.0789,
2024-08-01,29.316,33.6364,34.2333,
2024-09-01,28.7912,31.0855,37.3533,0.9304
2024-10-01,29.817,29.0145,41.0242,
2024-11-01,30.3698,22.6712,40.8021,
2024-12-01,34.0549,22.9161,40.6194,1.0855
