date,gdp_growth,inflation,fed_funds,unemployment
1990-01-01,2.5,2.0,4.0,5.5
1990-04-01,1.7127,1.1898,4.109,5.1716
1990-07-01,-0.1107,0.3176,3.7204,5.0422
1990-10-01,0.1252,-0.0649,3.4007,5.1542
1991-01-01,0.3733,0.4269,3.1154,4.757
1991-04-01,0.6787,0.0227,2.9555,4.5475
1991-07-01,0.5603,-0.1803,2.8975,4.3819
1991-10-01,0.3584,-0.2191,2.6108,4.3609
1992-01-01,0.7875,0.1019,2.9171,4.1203
1992-04-01,0.4125,-0.1836,2.682,4.293
1992-07-01,0.4797,-0.3906,1.9714,4.2443
1992-10-01,1.1184,0.0474,1.5192,3.9053
1993-01-01,1.0841,0.2144,1.6916,3.6678
1993-04-01,1.3938,0.3274,1.6884,3.4434
1993-07-01,0.2176,0.1129,1.4053,3.2106
1993-10-01,0.295,0.6868,1.0629,3.2848
1994-01-01,-0.5892,0.2782,1.0033,3.55
1994-04-01,0.4383,0.5559,0.8038,3.2515
1994-07-01,1.1298,0.4448,0.4282,2.6127
1994-10-01,0.4505,0.5339,0.5892,2.6736
1995-01-01,0.3372,0.4741,0.8105,2.5658
1995-04-01,0.8233,0.1931,0.6441,2.3037
1995-07-01,0.1061,0.3302,0.5075,2.3091
1995-10-01,0.7293,0.5047,0.7379,2.1861
1996-01-01,0.5025,0.3952,0.235,2.0
1996-04-01,-0.1663,-0.1076,0.3126,2.0
1996-07-01,0.0762,0.4545,0.2011,2.0
1996-10-01,-0.1803,0.2368,0.0,2.0
1997-01-01,0.8243,-0.3711,0.0,2.0
1997-04-01,0.5776,-0.7514,0.0,2.0
1997-07-01,0.9942,-0.4053,0.3479,2.0
1997-10-01,0.3923,-0.1696,0.3773,2.0065
1998-01-01,1.1817,0.1696,0.8298,2.0
1998-04-01,0.6659,-0.1357,0.6372,2.0
1998-07-01,1.203,-0.0009,0.1365,2.0
1998-10-01,1.3333,0.4998,0.9132,2.0
1999-01-01,1.3865,0.1689,0.2681,2.0
1999-04-01,0.7074,0.0545,0.1436,2.0
1999-07-01,1.506,0.3058,0.1925,2.0
1999-10-01,0.2242,0.0758,0.2504,2.0
2000-01-01,0.6168,0.5348,0.1642,2.0
2000-04-01,0.118,0.1492,0.845,2.0
2000-07-01,0.9639,-0.0594,0.9937,2.0
2000-10-01,0.8556,0.0846,0.7187,2.0
2001-01-01,0.6012,-0.3,0.2096,2.0
2001-04-01,1.7989,0.0933,0.2135,2.0
2001-07-01,2.3053,0.4363,0.3018,2.0
2001-10-01,2.0157,1.1383,0.7285,2.0
2002-01-01,0.6138,1.5436,1.5908,2.0
2002-04-01,0.3121,1.777,1.395,2.0
2002-07-01,0.7667,1.302,1.4687,2.0
2002-10-01,0.8899,1.6516,1.6558,2.0
2003-01-01,-0.5907,1.1601,1.4126,2.0
2003-04-01,-0.6764,0.7193,1.5391,2.0
2003-07-01,-0.1154,0.4188,1.209,2.0
2003-10-01,0.5888,0.9458,1.1407,2.0
2004-01-01,0.4801,0.8777,1.2299,2.0
2004-04-01,0.616,0.8509,2.0103,2.0
2004-07-01,0.0644,0.5659,1.3971,2.0
2004-10-01,0.5318,0.9864,1.148,2.0
2005-01-01,-0.775,0.5908,0.767,2.0
2005-04-01,-0.697,0.3617,0.0853,2.0
2005-07-01,1.308,-0.0199,0.0,2.0
2005-10-01,3.0596,-0.0952,0.0,2.0
2006-01-01,3.3709,-0.0648,0.0,2.0
2006-04-01,2.7247,0.1205,0.2554,2.0
2006-07-01,1.8794,0.2347,0.5468,2.0
