date,passengers
1949-01-01,105
1949-02-01,105
1949-03-01,115
1949-04-01,116
1949-05-01,121
1949-06-01,120
1949-07-01,116
1949-08-01,107
1949-09-01,104
1949-10-01,94
1949-11-01,99
1949-12-01,117
1950-01-01,151
1950-02-01,153
1950-03-01,159
1950-04-01,155
1950-05-01,141
1950-06-01,165
1950-07-01,166
1950-08-01,151
1950-09-01,134
1950-10-01,123
1950-11-01,125
1950-12-01,139
1951-01-01,188
1951-02-01,199
1951-03-01,193
1951-04-01,191
1951-05-01,198
1951-06-01,209
1951-07-01,215
1951-08-01,172
1951-09-01,160
1951-10-01,140
1951-11-01,165
1951-12-01,190
1952-01-01,233
1952-02-01,228
1952-03-01,210
1952-04-01,223
1952-05-01,235
1952-06-01,240
1952-07-01,243
1952-08-01,197
1952-09-01,190
1952-10-01,177
1952-11-01,181
1952-12-01,217
1953-01-01,247
1953-02-01,264
1953-03-01,242
1953-04-01,262
1953-05-01,252
1953-06-01,275
1953-07-01,251
1953-08-01,254
1953-09-01,218
1953-10-01,204
1953-11-01,228
1953-12-01,260
1954-01-01,299
1954-02-01,307
1954-03-01,296
1954-04-01,290
1954-05-01,321
1954-06-01,309
1954-07-01,316
1954-08-01,291
1954-09-01,241
1954-10-01,226
1954-11-01,234
1954-12-01,272
1955-01-01,336
1955-02-01,329
1955-03-01,334
1955-04-01,326
1955-05-01,341
1955-06-01,353
1955-07-01,345
1955-08-01,302
1955-09-01,260
1955-10-01,267
1955-11-01,267
1955-12-01,330
1956-01-01,359
1956-02-01,390
1956-03-01,355
1956-04-01,366
1956-05-01,378
1956-06-01,396
1956-07-01,377
1956-08-01,334
1956-09-01,306
1956-10-01,285
1956-11-01,308
1956-12-01,361
1957-01-01,380
1957-02-01,421
1957-03-01,401
1957-04-01,403
1957-05-01,409
1957-06-01,443
1957-07-01,421
1957-08-01,385
1957-09-01,325
1957-10-01,308
1957-11-01,341
1957-12-01,379
1958-01-01,458
1958-02-01,456
1958-03-01,448
1958-04-01,453
1958-05-01,455
1958-06-01,453
1958-07-01,449
1958-08-01,398
1958-09-01,365
1958-10-01,332
1958-11-01,336
1958-12-01,400
1959-01-01,470
1959-02-01,484
1959-03-01,480
1959-04-01,455
1959-05-01,477
1959-06-01,513
1959-07-01,484
1959-08-01,433
1959-09-01,397
1959-10-01,349
1959-11-01,389
1959-12-01,450
1960-01-01,496
1960-02-01,521
1960-03-01,531
1960-04-01,517
1960-05-01,524
1960-06-01,551
1960-07-01,513
1960-08-01,472
1960-09-01,395
1960-10-01,382
1960-11-01,429
1960-12-01,496
