date,first_release,revision_1,revision_2,final
2008-01-01,0.77,1.2,0.72,0.84
2008-04-01,6.04,6.71,6.26,6.43
2008-07-01,1.13,1.13,1.51,1.68
2008-10-01,-1.2,-0.58,-0.81,-0.56
2009-01-01,1.5,1.32,1.18,1.16
2009-04-01,3.37,4.97,4.55,4.48
2009-07-01,3.83,4.41,4.73,4.34
2009-10-01,5.2,5.3,5.38,5.82
2010-01-01,4.31,3.5,2.59,2.92
2010-04-01,4.19,4.04,4.29,3.99
2010-07-01,3.83,2.95,3.45,3.39
2010-10-01,-0.71,-1.38,-1.19,-0.89
2011-01-01,0.71,0.57,1.06,0.69
2011-04-01,2.11,2.5,1.31,1.48
2011-07-01,0.48,-0.28,0.14,-0.0
2011-10-01,2.1,4.2,3.95,3.49
2012-01-01,-3.26,-1.43,-1.44,-1.67
2012-04-01,0.2,-1.31,-0.75,-1.19
2012-07-01,5.5,6.66,5.47,5.81
2012-10-01,1.82,1.06,0.95,1.16
2013-01-01,5.15,5.51,5.38,5.76
2013-04-01,2.3,2.2,2.25,1.8
2013-07-01,-0.34,-0.16,-0.85,-0.7
2013-10-01,1.91,2.83,2.89,2.94
2014-01-01,1.56,2.79,1.55,2.06
2014-04-01,5.29,4.41,3.98,3.67
2014-07-01,-2.4,-2.49,-2.0,-1.71
2014-10-01,0.52,0.4,0.68,0.7
2015-01-01,0.01,1.32,1.22,1.44
2015-04-01,-0.04,0.16,-0.92,-0.52
2015-07-01,3.49,4.34,4.53,4.18
2015-10-01,0.94,-0.19,-0.28,0.22
2016-01-01,-0.68,0.31,0.77,0.87
2016-04-01,4.49,4.1,3.9,3.59
2016-07-01,0.19,-1.08,-0.64,-0.55
2016-10-01,2.07,1.3,0.68,0.93
2017-01-01,2.76,1.92,2.78,2.61
2017-04-01,0.42,0.54,0.5,0.22
2017-07-01,1.9,2.28,1.72,2.18
2017-10-01,0.85,1.14,1.0,1.07
2018-01-01,-0.54,0.24,0.38,0.09
2018-04-01,0.52,-0.51,-0.32,-0.32
2018-07-01,2.81,3.22,3.1,3.23
2018-10-01,2.29,3.83,3.79,3.87
2019-01-01,4.77,4.47,4.88,4.5
2019-04-01,0.36,1.85,1.37,1.27
2019-07-01,2.45,0.82,1.37,1.6
2019-10-01,2.31,2.77,2.45,2.41
2020-01-01,0.25,-1.59,-0.39,-0.64
2020-04-01,4.03,4.61,4.11,4.32
2020-07-01,3.53,2.36,2.26,2.4
2020-10-01,1.62,-0.18,0.21,0.13
2021-01-01,3.43,2.13,2.75,2.83
2021-04-01,-0.71,-0.26,-0.3,-0.21
2021-07-01,1.84,1.53,1.89,2.1
2021-10-01,1.6,-0.14,0.11,0.24
2022-01-01,2.26,3.14,2.56,2.54
2022-04-01,3.25,2.17,1.79,2.18
2022-07-01,2.22,2.13,2.13,2.07
2022-10-01,1.4,-0.45,0.45,0.15
