date,production
2000-01-01,112.62
2000-02-01,115.78
2000-03-01,113.48
2000-04-01,112.68
2000-05-01,111.18
2000-06-01,118.0
2000-07-01,102.35
2000-08-01,98.6
2000-09-01,77.84
2000-10-01,72.37
2000-11-01,80.97
2000-12-01,90.99
2001-01-01,114.0
2001-02-01,117.46
2001-03-01,114.5
2001-04-01,120.25
2001-05-01,120.17
2001-06-01,115.51
2001-07-01,108.65
2001-08-01,98.46
2001-09-01,84.55
2001-10-01,75.59
2001-11-01,80.89
2001-12-01,101.69
2002-01-01,117.7
2002-02-01,119.95
2002-03-01,115.25
2002-04-01,117.31
2002-05-01,120.73
2002-06-01,119.47
2002-07-01,117.27
2002-08-01,104.47
2002-09-01,88.85
2002-10-01,78.68
2002-11-01,84.02
2002-12-01,104.18
2003-01-01,117.5
2003-02-01,121.3
2003-03-01,126.09
2003-04-01,118.99
2003-05-01,116.46
2003-06-01,123.12
2003-07-01,123.13
2003-08-01,109.57
2003-09-01,83.89
2003-10-01,80.74
2003-11-01,89.79
2003-12-01,108.22
2004-01-01,124.45
2004-02-01,127.49
2004-03-01,125.43
2004-04-01,120.61
2004-05-01,126.02
2004-06-01,128.24
2004-07-01,119.21
2004-08-01,102.16
2004-09-01,82.51
2004-10-01,83.69
2004-11-01,89.8
2004-12-01,108.31
2005-01-01,121.69
2005-02-01,135.64
2005-03-01,128.02
2005-04-01,125.97
2005-05-01,132.34
2005-06-01,129.86
2005-07-01,123.8
2005-08-01,110.98
2005-09-01,89.68
2005-10-01,88.45
2005-11-01,95.28
2005-12-01,115.06
2006-01-01,126.16
2006-02-01,133.86
2006-03-01,128.96
2006-04-01,128.3
2006-05-01,125.02
2006-06-01,138.36
2006-07-01,129.2
2006-08-01,114.0
2006-09-01,95.27
2006-10-01,93.58
2006-11-01,99.18
2006-12-01,115.97
2007-01-01,129.71
2007-02-01,138.73
2007-03-01,134.38
2007-04-01,127.34
2007-05-01,134.74
2007-06-01,138.68
2007-07-01,134.54
2007-08-01,117.97
2007-09-01,105.07
2007-10-01,100.63
2007-11-01,102.22
2007-12-01,120.1
2008-01-01,136.43
2008-02-01,139.83
2008-03-01,136.44
2008-04-01,131.58
2008-05-01,134.44
2008-06-01,144.69
2008-07-01,133.74
2008-08-01,120.84
2008-09-01,105.14
2008-10-01,97.41
2008-11-01,107.12
2008-12-01,125.84
2009-01-01,139.3
2009-02-01,136.64
2009-03-01,138.7
2009-04-01,138.73
2009-05-01,141.71
2009-06-01,145.76
2009-07-01,137.09
2009-08-01,123.65
2009-09-01,102.63
2009-10-01,98.94
2009-11-01,104.54
2009-12-01,125.99
2010-01-01,146.42
2010-02-01,152.04
2010-03-01,144.22
2010-04-01,142.13
2010-05-01,142.02
2010-06-01,147.33
2010-07-01,141.25
2010-08-01,130.05
2010-09-01,101.83
2010-10-01,106.2
2010-11-01,112.33
2010-12-01,134.32
2011-01-01,140.93
2011-02-01,143.93
2011-03-01,145.47
2011-04-01,146.59
2011-05-01,142.32
2011-06-01,146.2
2011-07-01,142.55
2011-08-01,123.83
2011-09-01,116.67
2011-10-01,104.21
2011-11-01,112.58
2011-12-01,131.16
2012-01-01,146.57
2012-02-01,152.32
2012-03-01,150.62
2012-04-01,147.14
2012-05-01,152.48
2012-06-01,149.53
2012-07-01,149.11
2012-08-01,135.03
2012-09-01,117.94
2012-10-01,110.7
2012-11-01,119.61
2012-12-01,136.64
2013-01-01,150.12
2013-02-01,155.25
2013-03-01,150.56
2013-04-01,146.33
2013-05-01,152.06
2013-06-01,154.89
2013-07-01,154.12
2013-08-01,140.94
2013-09-01,121.89
2013-10-01,112.68
2013-11-01,120.53
2013-12-01,135.33
2014-01-01,154.48
2014-02-01,155.89
2014-03-01,152.86
2014-04-01,155.71
2014-05-01,163.0
2014-06-01,154.99
2014-07-01,153.7
2014-08-01,138.71
2014-09-01,123.67
2014-10-01,117.56
2014-11-01,116.83
2014-12-01,142.37
2015-01-01,155.53
2015-02-01,163.43
2015-03-01,161.36
2015-04-01,160.95
2015-05-01,158.36
2015-06-01,155.25
2015-07-01,156.14
2015-08-01,141.98
2015-09-01,124.68
2015-10-01,116.64
2015-11-01,124.67
2015-12-01,147.14
2016-01-01,160.79
2016-02-01,161.72
2016-03-01,162.03
2016-04-01,164.97
2016-05-01,156.89
2016-06-01,159.68
2016-07-01,164.94
2016-08-01,144.74
