date,series_1,series_2,series_3,series_4,series_5
1990-01-01,110.57,112.95,94.22,103.43,90.31
1990-04-01,95.82,90.81,88.98,101.38,103.44
1990-07-01,104.2,108.75,109.71,94.98,122.11
1990-10-01,111.11,82.4,116.93,96.23,99.75
1991-01-01,108.04,137.17,97.24,118.58,75.38
1991-04-01,102.55,95.01,104.31,111.76,108.46
1991-07-01,110.17,107.62,107.17,100.03,113.35
1991-10-01,107.09,106.45,116.11,111.9,101.9
1992-01-01,110.24,115.36,104.53,119.13,97.39
1992-04-01,99.56,88.52,103.0,115.39,97.35
1992-07-01,108.31,90.76,109.41,104.22,113.23
1992-10-01,116.34,116.98,118.24,113.05,107.07
1993-01-01,125.18,116.12,108.26,117.15,96.23
1993-04-01,106.11,119.73,108.14,113.99,111.02
1993-07-01,118.82,123.3,124.69,106.77,113.08
1993-10-01,127.37,138.35,131.29,120.01,120.65
1994-01-01,130.12,103.98,117.17,130.62,106.18
1994-04-01,104.75,112.95,118.53,123.01,107.42
1994-07-01,104.61,93.28,128.23,112.5,129.3
1994-10-01,135.97,137.7,131.86,132.09,118.41
1995-01-01,134.15,133.79,120.09,131.16,116.68
1995-04-01,96.17,108.16,109.77,128.05,125.94
1995-07-01,125.25,126.85,134.74,120.03,132.24
1995-10-01,126.73,143.86,143.13,118.85,104.23
1996-01-01,137.94,135.19,119.59,137.4,120.71
1996-04-01,120.01,122.34,120.04,128.14,123.67
1996-07-01,129.35,139.38,134.63,124.96,109.81
1996-10-01,153.22,128.64,139.27,121.92,124.18
1997-01-01,145.48,129.02,131.81,140.26,115.64
1997-04-01,121.4,144.98,130.91,144.06,119.42
1997-07-01,129.23,129.16,141.78,127.24,127.01
1997-10-01,158.13,130.74,136.99,136.1,111.96
1998-01-01,142.5,155.31,138.76,149.42,134.03
1998-04-01,134.77,132.25,128.98,139.0,135.96
1998-07-01,126.44,137.24,149.63,136.79,132.53
1998-10-01,168.6,149.62,149.21,152.84,122.37
1999-01-01,147.21,145.82,139.97,143.25,116.7
1999-04-01,127.94,131.98,141.58,151.31,141.88
1999-07-01,136.57,137.36,147.79,137.67,126.85
1999-10-01,156.81,132.54,153.97,148.4,146.27
2000-01-01,144.1,138.34,144.25,156.73,124.37
2000-04-01,133.58,137.05,143.47,152.24,123.97
2000-07-01,149.7,134.75,159.11,140.79,144.74
2000-10-01,155.36,141.11,156.36,150.21,127.51
2001-01-01,163.79,150.63,147.29,153.35,129.19
2001-04-01,143.7,157.21,144.01,148.91,146.27
2001-07-01,150.4,140.17,164.09,139.3,135.1
2001-10-01,168.12,146.53,165.88,162.38,134.04
2002-01-01,167.76,157.96,153.27,170.28,141.3
2002-04-01,148.44,150.66,151.35,154.09,148.27
2002-07-01,151.49,158.84,169.12,151.62,151.03
2002-10-01,171.21,176.95,172.5,163.66,138.99
2003-01-01,158.96,152.42,156.89,171.31,145.4
2003-04-01,152.67,146.36,158.21,163.51,146.52
2003-07-01,169.14,153.64,166.79,158.67,151.69
2003-10-01,179.91,179.54,182.16,163.86,136.08
2004-01-01,179.86,177.18,167.34,168.01,126.47
2004-04-01,154.87,162.24,165.73,163.02,137.37
2004-07-01,162.93,161.52,174.78,164.38,146.32
2004-10-01,184.09,167.74,180.46,179.13,153.64
2005-01-01,177.99,159.41,166.52,174.23,146.3
2005-04-01,162.71,166.03,168.55,179.04,147.14
2005-07-01,166.58,180.4,177.82,174.12,151.87
2005-10-01,184.17,175.98,187.93,171.39,147.62
2006-01-01,180.13,179.61,176.74,188.16,143.38
2006-04-01,168.88,175.92,168.77,177.96,163.74
2006-07-01,170.13,164.21,186.63,168.19,165.11
2006-10-01,194.04,186.56,191.98,182.53,145.41
2007-01-01,188.18,200.54,181.17,193.44,150.73
2007-04-01,174.7,171.16,177.29,178.12,158.92
2007-07-01,183.11,175.91,189.67,178.99,169.9
2007-10-01,205.13,204.03,195.83,187.61,153.47
2008-01-01,192.83,182.02,183.64,191.2,141.0
2008-04-01,181.75,180.17,183.88,187.56,165.59
2008-07-01,195.05,189.41,200.44,179.72,178.34
2008-10-01,188.98,195.09,203.23,191.74,162.39
2009-01-01,202.36,188.56,191.26,188.16,149.95
2009-04-01,193.5,192.43,182.23,191.56,172.23
2009-07-01,189.19,180.33,207.54,182.77,168.06
2009-10-01,213.6,195.28,200.24,189.9,165.26
