date,series_1,series_2,series_3,series_4,series_5
1995-01-01,77.58,80.73,119.85,107.81,104.06
1995-02-01,87.4,96.77,107.61,121.81,86.73
1995-03-01,99.08,88.72,106.65,111.82,79.25
1995-04-01,119.49,100.57,103.0,106.4,72.47
1995-05-01,115.96,101.66,95.28,104.36,87.52
1995-06-01,113.55,114.45,98.07,96.67,99.74
1995-07-01,110.02,121.0,78.35,88.01,122.47
1995-08-01,107.72,125.02,82.14,92.37,121.49
1995-09-01,99.5,119.32,104.61,92.82,122.71
1995-10-01,101.82,112.67,100.83,99.98,124.63
1995-11-01,72.33,110.53,104.1,101.73,124.83
1995-12-01,103.48,99.66,129.2,102.69,96.49
1996-01-01,91.86,103.83,134.62,105.41,100.46
1996-02-01,105.15,104.23,120.54,118.11,87.48
1996-03-01,93.23,87.53,118.5,112.43,78.93
1996-04-01,107.09,97.05,113.51,103.28,86.61
1996-05-01,96.78,111.59,114.64,103.65,99.2
1996-06-01,109.02,128.44,108.85,107.13,101.72
1996-07-01,119.6,128.87,81.05,105.08,124.89
1996-08-01,101.32,120.4,99.48,96.65,121.49
1996-09-01,103.28,119.6,104.52,95.08,124.46
1996-10-01,131.35,119.88,116.22,105.26,126.93
1996-11-01,103.36,113.78,128.22,101.72,125.56
1996-12-01,111.96,99.87,123.88,107.65,132.14
1997-01-01,93.4,116.72,134.93,123.84,84.9
1997-02-01,102.31,107.09,145.07,118.45,96.31
1997-03-01,127.55,101.89,129.99,121.32,103.51
1997-04-01,118.01,109.36,140.47,120.33,119.31
1997-05-01,127.37,114.15,123.43,110.29,96.35
1997-06-01,131.17,129.65,108.95,104.91,105.25
1997-07-01,110.59,139.4,107.29,99.61,133.85
1997-08-01,101.85,141.83,104.98,100.38,135.12
1997-09-01,107.09,123.5,111.5,105.83,143.57
1997-10-01,113.7,134.35,126.11,105.86,146.3
1997-11-01,98.18,126.24,130.51,110.55,129.43
1997-12-01,129.41,117.86,135.74,122.43,118.81
1998-01-01,105.87,113.95,144.92,129.52,114.17
1998-02-01,128.99,110.5,148.9,134.29,124.62
1998-03-01,116.13,108.71,139.08,121.2,100.15
1998-04-01,122.93,112.02,137.12,121.8,111.49
1998-05-01,109.45,126.07,121.61,124.4,106.79
1998-06-01,121.84,137.21,131.43,117.88,138.94
1998-07-01,106.42,143.44,125.04,106.18,133.56
1998-08-01,106.35,146.77,123.77,105.18,137.24
1998-09-01,130.03,150.43,131.17,103.61,145.37
